#! FIELDS all projection
#! SET min_all 123.418
#! SET max_all 273.28
#! SET nbins_all  107
#! SET periodic_all false
  123.418000000   24.277497873
  124.831792453   24.272746639
  126.245584906   24.257194253
  127.659377358   24.210830486
  129.073169811   24.081767639
  130.486962264   23.731462100
  131.900754717   22.807069715
  133.314547170   20.752753635
  134.728339623   17.356413840
  136.142132075   12.957690461
  137.555924528    8.263903080
  138.969716981    4.156995600
  140.383509434    1.352098858
  141.797301887    0.076705479
  143.211094340    0.000000000
  144.624886792    0.476995252
  146.038679245    0.926790183
  147.452471698    1.081705030
  148.866264151    0.993600999
  150.280056604    0.876908163
  151.693849057    0.921240606
  153.107641509    1.172758312
  154.521433962    1.533052098
  155.935226415    1.861538799
  157.349018868    2.085686282
  158.762811321    2.250107395
  160.176603774    2.447611011
  161.590396226    2.762579506
  163.004188679    3.237746353
  164.417981132    3.857000662
  165.831773585    4.555851464
  167.245566038    5.270185736
  168.659358491    5.992301789
  170.073150943    6.761010537
  171.486943396    7.607326659
  172.900735849    8.531084271
  174.314528302    9.512888858
  175.728320755   10.542795553
  177.142113208   11.636387600
  178.555905660   12.827457173
  179.969698113   14.113845567
  181.383490566   15.374543273
  182.797283019   16.375103279
  184.211075472   16.964504446
  185.624867925   17.315685969
  187.038660377   17.638300793
  188.452452830   17.930085292
  189.866245283   18.087940653
  191.280037736   18.091134117
  192.693830189   18.051227661
  194.107622642   18.104620611
  195.521415094   18.316152147
  196.935207547   18.653690118
  198.349000000   18.999139852
  199.762792453   19.192401337
  201.176584906   19.167435992
  202.590377358   19.035141013
  204.004169811   18.957749485
  205.417962264   19.033028818
  206.831754717   19.264371546
  208.245547170   19.526899202
  209.659339623   19.608389199
  211.073132075   19.455893076
  212.486924528   19.226248088
  213.900716981   19.036623191
  215.314509434   18.882502296
  216.728301887   18.713050483
  218.142094340   18.505441457
  219.555886792   18.253869777
  220.969679245   17.941231488
  222.383471698   17.571103407
  223.797264151   17.196810635
  225.211056604   16.906413747
  226.624849057   16.779424484
  228.038641509   16.839114052
  229.452433962   17.036147046
  230.866226415   17.281851646
  232.280018868   17.486966822
  233.693811321   17.593229685
  235.107603774   17.589242590
  236.521396226   17.520361945
  237.935188679   17.457726745
  239.348981132   17.443204137
  240.762773585   17.466977064
  242.176566038   17.493577852
  243.590358491   17.502054869
  245.004150943   17.505573053
  246.417943396   17.545463395
  247.831735849   17.673604599
  249.245528302   17.949854269
  250.659320755   18.445321166
  252.073113208   19.210712029
  253.486905660   20.224640342
  254.900698113   21.359095719
  256.314490566   22.398843359
  257.728283019   23.162505079
  259.142075472   23.636923462
  260.555867925   23.916723591
  261.969660377   24.081463888
  263.383452830   24.175756673
  264.797245283   24.227342809
  266.211037736   24.254433558
  267.624830189   24.268029759
  269.038622642   24.274517070
  270.452415094   24.277340823
  271.866207547   24.278454106
  273.280000000   24.278843328
